CTH2409-00535!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:49:40!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00173!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:54:00!flow_rate_0.3_gpm!value='0.59' lower_limit='0.27' upper_limit='0.5'!NDF!Change slot!510008:SYSTEM TEST
CTH2344-00167!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:33:41!VF_SI_ICI_SERDES_FAIL!OSFP2!NDF!Change OSFP2 and retest!510008:SYSTEM TEST
CTH2408-05194!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:11:40!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Swap OSFP3 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-05136!VIPERFISH|PLATFORMS-SERVER!2024-02-28 05:22:49!VF_SI_ICI_SERDES_FAIL!OSFP13!NDF!Swap OSFP13 to OSFP6 and retest!510008:SYSTEM TEST
CTH2409-00368!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:06:20!TPU_FAIL_PCIE_THROUGHPUT!Failing Child Step='pci_throughput_aer_with_retry - Check Chip PCIe Total Throughput';/phys/PE0/IO0/CDFP/DOWNLINK/VFC3:device:asic: Checking total throughput: actual 27839258377, min 40000000000!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04526!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:07:52!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00179!VIPERFISH|PLATFORMS-SERVER!2024-02-27 22:07:40!VF_SI_ICI_SERDES_FAIL!OSFP6!NDF!Swap OSFP6 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-05729!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:05:49!over_temp!value='1' lower_limit='0' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70628!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:37:34!STETHOSCOPE_STOP_ERROR!Failing Child Step='pcm_burnin - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2408-12624!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:27:42!HOTSWAP_REBOOT_FAILURE!Hotswap reboot was not detected.!NDF!Change slot!510008:SYSTEM TEST
CTH2351-00002!VIPERFISH|PLATFORMS-SERVER!2024-02-26 07:27:27!flow_rate_0.6_gpm!value='0.26' lower_limit='0.54' upper_limit='0.66'!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04549!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:59:28!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70538!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 08:04:31!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC3 Port 2 Lane 0. Actual: 1.13e-06, Threshold: 6.005e-07!NDF!Swap OSFP7 with OSFP3!510008:SYSTEM TEST
CTH2409-00273!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:43:36!VF_SI_ICI_SERDES_FAIL!OSFP7!NDF!Swap OSFP7 to OSFP14 retest (APF23401072Y5B)!510008:SYSTEM TEST
CTH2409-00782!VIPERFISH|PLATFORMS-SERVER!2024-02-28 08:08:38!MISSING_MEASUREMENT!Could not find measurements for 1 spec(s).!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00555!VIPERFISH|PLATFORMS-SERVER!2024-02-28 08:03:34!NON_ZERO_EXIT_CODE!Failing Child Step='ici_sustained_chip2chip - Diag';vxc_binary.ici_sustained_chip2chip_test_viperfish_hardware failed with non-zero exit code.;1/1 test cases failed.!NDF!Retest as is!510008:SYSTEM TEST
CTH2346-01016!VIPERFISH|PLATFORMS-SERVER!2024-02-20 06:27:43!vfc_ext_north_range!value='11.0' lower_limit='0' upper_limit='10'!NDF!!510008:SYSTEM TEST
CTH2409-70049!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:41:50!VOODOO_UNEXPECTED_EXCEPTION!ERROR while executing run_step() in VxStandaloneVoodoo;(IndexError) list index out of range!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00414!VIPERFISH|PLATFORMS-SERVER!2024-02-28 05:21:31!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05184!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:52:32!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-12868!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 02:26:36!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC3 Port 1 Lane 0. Actual: 7.35e-06, Threshold: 6.005e-07!NDF!Swap OSFP6 to OSFP1!510008:SYSTEM TEST
CTH2409-00591!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:33:16!L0SEQ_BMC_SYS_PGOOD_GPIO_VALUE!value='0' lower_limit='1' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00483!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:39:38!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 to OSFP7 retest (APF23121041LHJ)!510008:SYSTEM TEST
CTH2408-12569!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 06:32:23!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC1 Port 1 Lane 3. Actual: 6.48e-07, Threshold: 6.005e-07!NDF!Swap OSFP2 to OSFP7 and retest!510008:SYSTEM TEST
CTH2408-05196!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:12:23!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00489!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:54:34!UNEXPECTED_EXCEPTION!type object 'ExecuteVfMarginUpScriptSetting' has no attribute 'exception'!NDF!Change slot!510008:SYSTEM TEST
CTH2408-00855!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:46:47!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00175!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:24:16!EXCESSIVE_VX_POWER_CORE_FAIL_COUNT!Failing Child Step='didt_sweep - Diag';Attribute 'vx-power-core-fail-count' has 1 violated entries during didt. Violated entries: 61_on_5_off!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00645!VIPERFISH|PLATFORMS-SERVER!2024-02-28 08:07:33!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Reinsert FAN cable retest!510008:SYSTEM TEST
CTH2409-00452!VIPERFISH|PLATFORMS-SERVER!2024-02-28 05:19:53!VF_SI_ICI_SERDES_FAIL!OSFP12!NDF!Swap OSFP12 to OSFP7 (APF23131043PD0)!510008:SYSTEM TEST
CTH2403-03922!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:43:20!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-01930!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:14:05!TPU_FAIL_SEAWORTHY!Failing Child Step='seaworthy_margin_down [Voltage Margin DOWN] - seaworthy-execution';Seaworthy timed out after 3600s.;Seed: viperfishist0;Chip: (none):pe0:3 failed 1 fish tests!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2351-70831!VIPERLITE POD|PLATFORMS-SERVER!2024-02-20 03:15:03!VX_POWER_TIMEOUT!Failing Child Step='pcm_burnin - vx-power-execution';vx_power binary failed to finish in alloted time (waited for 15m30s)!DB03!Replace H/S VLC_2 (NTGFKP233706694)!510008:SYSTEM TEST
CTH2405-07004!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:19:48!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2403-02504!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:39:07!pcie_vfc0_width!value='x4' lower_limit='x16' upper_limit=''!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2342-00432!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:18:40!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-02724!VIPERFISH|PLATFORMS-SERVER!2024-02-27 20:42:55!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-00338!VIPERFISH|PLATFORMS-SERVER!2024-02-27 20:33:36!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC2:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-01431!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:14:58!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC0:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-02858!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:54:59!EXCESSIVE_TGEN_CORRECTABLE_ECC_ERRORS!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test-tdp_no_hbm-random_read_write';Attribute 'tgen-correctable-ecc-errors' has 1 violated entries during tgen-random_read_write. Violated entries!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2343-00492!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:18:40!EXCESSIVE_SEAWORTHY_TEST_RESULTS!Failing Child Step='seaworthy - seaworthy_iteration_0';Attribute 'seaworthy-test-results' has 2 violated entries during seaworthy. Violated entries: MatmulConsistencyTest.MatmulUniBigPosSmallPosD!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-02882!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:55:40!TPU_FAIL_SEAWORTHY!Failing Child Step='seaworthy_margin_up [Voltage Margin UP] - seaworthy-execution';Seaworthy timed out after 3600s.;Seed: viperfishist0;Chip: (none):pe0:3 failed 1 fish tests!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2351-72962!GHOSTLITE POD|PLATFORMS-SERVER!2024-02-26 07:18:07!005!!DB03!Dis PCBA to debug!960075:DEBUG CONF
CTH2408-05925!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:44:42!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!Replace Cold plate (COOLER MASTER_1143797-01_LC-01840-01-GP2_CMG240101483_TW)!510008:SYSTEM TEST
CTH2407-04569!VIPERFISH|PLATFORMS-SERVER!2024-02-28 08:04:06!MISSING_MEASUREMENT!Could not find measurements for 1 spec(s).!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-00847!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:52:04!hswap_temp!value='-128.0' lower_limit='0' upper_limit='125'!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-06419!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:45:11!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!replace cold plate!510008:SYSTEM TEST
CTH2406-00280!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:37:25!EXCESSIVE_SEAWORTHY_TEST_RESULTS!Failing Child Step='seaworthy_margin_down [Voltage Margin DOWN] - seaworthy_iteration_0';Attribute 'seaworthy-test-results' has 1 violated entries during seaworthy. Violated entries: SeaworthyTes!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-00697!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:54:50!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2407-05551!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:34:10!invalid_test_case_results!Failing Child Step='seaworthy_margin_up [Voltage Margin UP] - seaworthy_iteration_0';Result is missing Chip Info.!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-03787!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:15:32!EXCESSIVE_SEAWORTHY_TEST_RESULTS!Failing Child Step='seaworthy_margin_down [Voltage Margin DOWN] - seaworthy_iteration_0';Attribute 'seaworthy-test-results' has 3 violated entries during seaworthy. Violated entries: SeaworthyTes!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-00405!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:37:24!VIPERFISH_MEMTEST_ERROR!Failing Child Step='memtest_sram - Diag';CANCELLED: Thread cancelled before callback.;=== Source Location Trace: ===;platforms/testing/tests/jellyfish/memtest/task/lib/async_memory_target.cc:96;p!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-07189!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:37:24!EXCESSIVE_TGEN_TEST_STATUS!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test-tdp_no_hbm-random_address';Attribute 'tgen-test-status' has 1 violated entries during tgen-random_address. Violated entries: block-34-node-0!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2405-05788!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:19:37!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-05762!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:45:32!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!Replace Cold plate (COOLER MASTER_1143797-01_LC-01840-01-GP2_CMG240101335_TW)!510008:SYSTEM TEST
CTH2405-06420!VIPERFISH|PLATFORMS-SERVER!2024-02-28 05:44:26!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2408-03182!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:33:13!VXC_RESTORE_HBM_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv';VxC HBM Configuration failed: Command /export/hda3/tests/vf_hwqual_setup_fabs/vf_hbm -id 3 -reset --noenvelope_enabled failed. Output:;STDERR: E0221!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-03034!VIPERFISH|PLATFORMS-SERVER!2024-02-28 05:54:00!TPU_HBM_LANE_REPAIR_FAILED_HARD!Failing Child Step='hbm_lane_repair - HBM Lane Repair Operation';Encountered an error during lane repair action hard tray=0, chip=3, HBM=3: AAPL Runner failed: Error encountered when running lane!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-02903!VIPERFISH|PLATFORMS-SERVER!2024-02-27 20:25:27!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC0 is halted before Stop flag was set. Core Status: run_state = 2 pc=373 halted_due_to_instruction=false!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-06199!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:44:18!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!Replace Cold plate (COOLER MASTER_1143797-01_LC-01840-01-GP2_CMG240100921_TW)!510008:SYSTEM TEST
CTH2406-02316!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:15:29!TPU_FAIL_SEAWORTHY!Failing Child Step='seaworthy_margin_down [Voltage Margin DOWN] - seaworthy-execution';Seaworthy failed with non-zero exit code.;Seed: viperfishist0;Chip: (none):pe0:1 failed 2 fish tests!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2402-70248!GHOSTLITE POD|PLATFORMS-SERVER!2024-02-23 08:22:01!005:FCT FAIL!DIS PCB TO DEBUG!DB03!!960075:DEBUG CONF
CTH2404-01139!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:44:26!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2335-71302!GHOSTLITE POD|PLATFORMS-SERVER!2024-02-28 05:56:55!vr_glc0_hbm_vddql_0r4_mfr_revision!value='' lower_limit='(001)' upper_limit=''!DB06!Rework Heat Sinks Peregrine GPN: 1171127!510008:SYSTEM TEST
CTH2408-00979!VIPERFISH|PLATFORMS-SERVER!2024-02-28 04:01:11!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2348-01707!VIPERFISH|PLATFORMS-SERVER!2024-02-14 03:17:41!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2408-03474!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:52:35!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2408-01269!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:11:12!EXCESSIVE_TGEN_CORRECTABLE_ECC_ERRORS!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test-tdp_no_hbm-row_hammer';Attribute 'tgen-correctable-ecc-errors' has 1 violated entries during tgen-row_hammer. Violated entries: block-26-nod!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-04377!VIPERFISH|PLATFORMS-SERVER!2024-02-28 05:53:12!EXCESSIVE_TGEN_TEST_STATUS!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test-tdp_no_hbm-decoder';Attribute 'tgen-test-status' has 1 violated entries during tgen-decoder. Violated entries: block-20-node-0-decoder!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-01359!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:44:55!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!replace cold plate!510008:SYSTEM TEST
