CTH2351-72962!GHOSTLITE POD|PLATFORMS-SERVER!2024-02-26 07:18:07!005!!DB03!Dis PCBA to debug!960075:DEBUG CONF
CTH2406-03365!VIPERFISH|PLATFORMS-SERVER!2024-02-27 09:22:13!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_15 in hardware parts.!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-00960!VIPERFISH|PLATFORMS-SERVER!2024-02-27 03:01:52!EXCESSIVE_TGEN_CORRECTABLE_ECC_ERRORS!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test-tdp_no_hbm-row_hammer';Attribute 'tgen-correctable-ecc-errors' has 1 violated entries during tgen-row_hammer. Violated entries: block-31-nod!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-03093!VIPERFISH|PLATFORMS-SERVER!2024-02-27 09:22:03!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-03345!VIPERFISH|PLATFORMS-SERVER!2024-02-27 08:54:15!VXC_RESTORE_HBM_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv';VxC HBM Configuration failed: Command /export/hda3/tests/vf_hwqual_setup_fabs/vf_hbm -id 1 -reset --noenvelope_enabled failed. Output:;STDERR: E0215!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-01761!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:33:31!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2407-01870!VIPERFISH|PLATFORMS-SERVER!2024-02-27 09:21:45!PCIE_VFC2_WIDTH!value='x8' lower_limit='x16' upper_limit=''!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-02258!VIPERFISH|PLATFORMS-SERVER!2024-02-27 02:39:40!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2335-71302!GHOSTLITE POD|PLATFORMS-SERVER!2024-02-21 01:43:59!vr_glc0_hbm_vddql_0r4_mfr_revision!value='' lower_limit='(001)' upper_limit=''!DB06!Rework Heat Sinks Peregrine GPN: 1171127!510008:SYSTEM TEST
CTH2402-00106!VIPERFISH|PLATFORMS-SERVER!2024-02-14 03:17:41!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2343-00492!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:18:40!EXCESSIVE_SEAWORTHY_TEST_RESULTS!Failing Child Step='seaworthy - seaworthy_iteration_0';Attribute 'seaworthy-test-results' has 2 violated entries during seaworthy. Violated entries: MatmulConsistencyTest.MatmulUniBigPosSmallPosD!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-00613!VIPERFISH|PLATFORMS-SERVER!2024-02-27 07:47:34!vfc3_telemetry!value='--' lower_limit='OK' upper_limit=''!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-00054!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:33:23!vfc0_telemetry!value='--' lower_limit='OK' upper_limit=''!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-04436!VIPERFISH|PLATFORMS-SERVER!2024-02-27 03:33:15!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2404-01074!VIPERFISH|PLATFORMS-SERVER!2024-02-27 09:22:57!TPU_FAIL_SEAWORTHY!Failing Child Step='seaworthy_margin_down [Voltage Margin DOWN] - seaworthy-execution';Seaworthy failed with non-zero exit code.;Seed: viperfishist0;Chip: (none):pe0:2 failed 2 fish tests!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2406-00588!VIPERFISH|PLATFORMS-SERVER!2024-02-27 03:33:26!VF_SI_ICI_SERDES_FAIL!OSFP3!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-05152!VIPERFISH|PLATFORMS-SERVER!2024-02-27 02:50:50!TPU_HBM_LANE_REPAIR_FAILED_HARD!Failing Child Step='hbm_lane_repair - HBM Lane Repair Operation';Encountered an error during lane repair action hard tray=0, chip=1, HBM=2: AAPL Runner failed: Error encountered when running lane!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-05375!VIPERFISH|PLATFORMS-SERVER!2024-02-27 08:52:21!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC0 is halted before Stop flag was set. Core Status: run_state = 2 pc=355 halted_due_to_instruction=false!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-04410!VIPERFISH|PLATFORMS-SERVER!2024-02-27 06:10:32!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - vx-power-execution';vx_power finished with errors:;E0219 17:15:19.120020  133426 async_driver.cc:487] [device_path: 	 "/dev/vfio/137" mode:!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-04760!VIPERFISH|PLATFORMS-SERVER!2024-02-27 03:02:19!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC0 is halted before Stop flag was set. Core Status: run_state = 2 pc=353 halted_due_to_instruction=false!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-00584!VIPERFISH|PLATFORMS-SERVER!2024-02-27 03:35:46!tpu_error_p5x_execution!Failing Child Step='Tpu Sdc - p5x-execution';Target tray0chip3 Iteration 0, Unable to read results file /data/tmp/tmpmmobv141/tray0chip3/iteration0/golden_comparison_results.textproto, P5x failed!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-01085!VIPERFISH|PLATFORMS-SERVER!2024-02-27 09:13:13!tpu_fail_p5x!Failing Child Step='Tpu Sdc - p5x-execution';Target tray0chip1 Iteration 0, Detected XLA SDC at step 3373. Golden step count is 79357. Actual XLA train duration was 1824.8592529296875s while gold!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-05038!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:10:14!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2403-02032!VIPERFISH|PLATFORMS-SERVER!2024-02-27 09:13:22!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC0:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2407-02913!VIPERFISH|PLATFORMS-SERVER!2024-02-27 09:12:53!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-03242!VIPERFISH|PLATFORMS-SERVER!2024-02-27 03:01:27!flow_rate_0.6_gpm!value='0.3' lower_limit='0.54' upper_limit='0.66'!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-02320!VIPERFISH|PLATFORMS-SERVER!2024-02-26 23:54:13!flow_rate_error!Failing flow rate spec.!DB03!replace cold plate!510008:SYSTEM TEST
CTH2408-00756!VIPERFISH|PLATFORMS-SERVER!2024-02-27 07:48:16!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!DB03!Dis PCBA to debug (No Dis H/S)!510008:SYSTEM TEST
CTH2405-10472!VIPERLITE POD|PLATFORMS-SERVER!2024-02-26 06:41:20!VX_POWER_TIMEOUT!Failing Child Step='pcm_burnin - vx-power-execution';vx_power binary failed to finish in alloted time (waited for 15m30s)!DB03!Replace HS VLC1 [NTGFKZ234306095]!510008:SYSTEM TEST
CTH2408-10943!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 01:28:11!EXCESSIVE_PV_TGEN_THERMAL_THROTTLE!Failing Child Step='hbm_tgen_pv_conditions - tdp_no_hbm';Attribute 'pv-tgen-thermal-throttle' has 1 violated entries during pv-tgen-tdp_no_hbm. Violated entries: throttle-rate!DB03!Replace HS VLC0 [NTGFKZ234307215]!510008:SYSTEM TEST
CTH2408-13434!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 02:12:22!EXCESSIVE_PV_TGEN_THERMAL_THROTTLE!Failing Child Step='hbm_tgen_pv_conditions - tdp_no_hbm';Attribute 'pv-tgen-thermal-throttle' has 1 violated entries during pv-tgen-tdp_no_hbm. Violated entries: throttle-rate!DB03!Replace HS VLC2 [NTGFKZ234307230]!510008:SYSTEM TEST
CTH2406-70631!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 08:19:31!EXCESSIVE_PV_TGEN_THERMAL_THROTTLE!Failing Child Step='hbm_tgen_pv_conditions - tdp_no_hbm';Attribute 'pv-tgen-thermal-throttle' has 1 violated entries during pv-tgen-tdp_no_hbm. Violated entries: throttle-rate!DB03!Replace HS VLC2 [NTGFKZ234306247]!510008:SYSTEM TEST
CTH2409-70070!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 08:18:59!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!DB03!Replace H/S VLC_2  (NTGFKP234809810)!510008:SYSTEM TEST
CTH2408-05777!VIPERFISH|PLATFORMS-SERVER!2024-02-27 07:57:58!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!replace cold plate!510008:SYSTEM TEST
CTH2409-70089!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 08:19:09!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!DB03!Replace H/S VLC_1  (NTGFKP234809860)!510008:SYSTEM TEST
CTH2409-70097!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 08:19:19!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!DB03!Replace H/S VLC_0  (NTGFKP234810600)!510008:SYSTEM TEST
CTH2409-70113!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 08:18:50!VX_POWER_TIMEOUT!Failing Child Step='pcm_burnin - vx-power-execution';vx_power binary failed to finish in alloted time (waited for 15m30s)!DB03!Replace H/S VLC_0  (NTGFKZ234306095)!510008:SYSTEM TEST
CTH2408-03957!VIPERFISH|PLATFORMS-SERVER!2024-02-27 07:57:12!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!DB03!Replace FAN2 fan_tray (VFTCTH240802565)!510008:SYSTEM TEST
