"CTH2405-04017!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:13:11!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance - vx-power-execution';vx_power finished with errors:;E0206 02:19:02.394089   36585 async_driver.cc:487] [device_path: 	 ""/dev/vfio/139"" mode: KERNEL]!NDF!Change slot!510008:SYSTEM TEST"
CTH2406-10952!VIPERLITE POD|PLATFORMS-SERVER!2024-02-08 22:24:44!VL_MARGIN_CONNECTION_ERROR!Failing Child Step='vl_margin [Voltage Margin OFF] - Tray ID: 0';SSH connection to BMC failed. INTERNAL: Could not establish SSH session: Failed to resolve hostname fe80::a0d5:9dff:fe6c:6e6a%bmc_!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00216!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:10:20!VF_SI_ICI_SERDES_FAIL!OSFP3!NDF!Replace OSFP3 and Retest!510008:SYSTEM TEST
CTH2406-00947!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:27:08!VOODOO_UNEXPECTED_EXCEPTION!ERROR while executing run_step() in VxStandaloneVoodoo;(Exception) No operator input received within [3600] seconds!NDF!Replace OSFP14 and retest!510008:SYSTEM TEST
CTH2406-10929!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 01:45:29!STEP_TIMEOUT_ERROR!Timeout occurred while executing ssh -o ServerAliveInterval=600 -tt root@10.0.0.9 'ulimit -Hn 1048576; ulimit -Sn 1048576; gcontain enter /; /fish/voodoo/jobhandlers/viperliteist_jobhandler_stand!NDF!Change slot!510008:SYSTEM TEST
CTH2406-10673!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 04:10:11!STETHOSCOPE_STOP_ERROR!Failing Child Step='electrical_design_power_droop_validation - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2402-71848!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 02:00:23!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC1 Port 1 Lane 3. Actual: 1.15e-06, Threshold: 6.005e-07!NDF!Replace OSFP2!510008:SYSTEM TEST
CTH2403-11847!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 02:36:06!STETHOSCOPE_STOP_ERROR!Failing Child Step='electrical_design_power_droop_validation - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00423!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:08:49!vfc_aapl_failed!Failing Child Step='hbm_aapl - hbm_aapl';AAPL Runner failed: Error encountered when running AAPL on tray=0 chip=0 HBM=2: /export/hda3/tests/vx_aapl_fabs/aapl hbm -id && /export/hda3/tests/vx_aapl!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00959!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:06:07!VF_SI_ICI_SERDES_FAIL!OSFP6!NDF!Swap OSFP6 to OSFP12 retest (APF232610406DK)!510008:SYSTEM TEST
CTH2406-00728!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:20:17!VF_SI_ICI_SERDES_FAIL!OSFP11!NDF!Swap OSFP11 to OSFP1 retest (APF23111040EYK)!510008:SYSTEM TEST
CTH2403-05882!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:52:23!fish_firmware_missing!Failed to find haven-vfc3 devpath /phys/PE0/IO0/CDFP/DOWNLINK:device:haven_vxc3 in firmware list.!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00195!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:53:20!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_1 in hardware parts.!NDF!Replace OSFP1 retest!510008:SYSTEM TEST
CTH2406-00281!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:14:48!SVS_FIRMWARE_UPDATE_ERROR!(MSVPackageInstallError) Error while installing package using script /var/lib/msv-packages/firmware-dvrmc12s/viperfish/post-install.sh;(HostCommandError) Send command failure: /var/lib/msv-packag!NDF!Retest as is!510008:SYSTEM TEST
CTH2406-00207!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:23:08!VF_SI_ICI_SERDES_FAIL!OSFP11!NDF!Swap OSFP11 between OSFP0 (APF23131043PBM)!510008:SYSTEM TEST
CTH2406-00876!VIPERFISH|PLATFORMS-SERVER!2024-02-08 20:24:04!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 between OSFP1 (APF23381070J4U)!510008:SYSTEM TEST
CTH2404-04162!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:30:46!STEP_TIMEOUT_ERROR!Timeout occurred while executing ssh -o ServerAliveInterval=600 -tt root@10.0.0.6 'ulimit -Hn 1048576; ulimit -Sn 1048576; gcontain enter /; /fish/voodoo/jobhandlers/viperfishist_jobhandler_stand!NDF!Retest as is!510008:SYSTEM TEST
CTH2405-12689!VIPERLITE POD|PLATFORMS-SERVER!2024-02-08 15:27:28!STETHOSCOPE_STOP_ERROR!Failing Child Step='electrical_design_power_droop_validation - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00085!VIPERFISH|PLATFORMS-SERVER!2024-02-08 20:28:00!VF_SI_ICI_SERDES_FAIL!OSFP7!NDF!Swap OSFP7 to OSFP15 retest (APF23411073FYH)!510008:SYSTEM TEST
CTH2406-70795!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 01:54:35!GBMC_INTERFACE_CONFIGURE_ERROR!Failed to configure the network interface between host and gBMC;(TimeoutError) Timeout while trying to set interface bmc_usb0;(HostCommandError) Send command failure: ip link set usb0 name bmc_us!NDF!Reinsert the UUT!510008:SYSTEM TEST
CTH2406-01046!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:37:52!SVS_FIRMWARE_UPDATE_ERROR!(MSVPackageInstallError) Error while installing package using script /var/lib/msv-packages/firmware-dvrmc12s/viperfish/post-install.sh;(HostCommandError) Send command failure: /var/lib/msv-packag!NDF!Retest as is!510008:SYSTEM TEST
CTH2406-01056!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:14:54!GBMC_COMM_ERROR!Failed to open communication with the gBMC!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00069!VIPERFISH|PLATFORMS-SERVER!2024-02-08 18:48:31!TPU_PCIE_DRIVER_OPEN_ERROR!Failing Child Step='pci_throughput_aer_with_retry - Diag';generic::failed_precondition: open(/dev/vfio/137): Device or resource busy: Device or resource busy; Couldn't open iommu group /dev/vfio/!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00355!VIPERFISH|PLATFORMS-SERVER!2024-02-06 23:15:18!UNEXPECTED_EXCEPTION!list index out of range!NDF!Change slot!510008:SYSTEM TEST
CTH2405-00981!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:48:32!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC1 is halted before Stop flag was set. Core Status: run_state = 2 pc=346 halted_due_to_instruction=false!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2404-02861!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:32:22!flow_rate_0.6_gpm!value='0.94' lower_limit='0.54' upper_limit='0.66'!DB03!Replace cold plate : 1143796-02_695234_AVH_233800540!510008:SYSTEM TEST
CTH2405-03302!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:04:08!VXC_RESTORE_HBM_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv';VxC HBM Configuration failed: Command /export/hda3/tests/vf_hwqual_setup_fabs/vf_hbm -id 2 -reset --noenvelope_enabled failed. Output:;STDERR: E0128!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-11235!VIPERLITE POD|PLATFORMS-SERVER!2024-02-08 14:03:43!PCIE_DEVPATH_MISSING!^/phys/PE\d/CDFP/DOWNLINK/VLC3:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-02857!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:10:17!flow_rate_0.6_gpm!value='0.88' lower_limit='0.54' upper_limit='0.66'!DB03!replace cold plate!510008:SYSTEM TEST
CTH2404-02716!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:32:57!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-03652!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:08:07!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC1 is halted before Stop flag was set. Core Status: run_state = 2 pc=346 halted_due_to_instruction=false!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2406-00384!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:08:56!flow_rate_error!Failing flow rate spec.!DB03!replace cold plate!510008:SYSTEM TEST
CTH2405-06827!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:31:46!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC0:device:asic!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2402-00537!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:10:32!flow_rate_0.6_gpm!value='0.75' lower_limit='0.54' upper_limit='0.66'!DB03!Replace cold plate : 1143796-02_695234_AVH_233700125!510008:SYSTEM TEST
CTH2405-00822!VIPERFISH|PLATFORMS-SERVER!2024-02-09 00:57:07!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-06374!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:11:17!PCIE_LTT_FAILED!Failing Child Step='pcie_ltt - Diag';PCIe Link Training Test failed.!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2343-00492!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:18:40!EXCESSIVE_SEAWORTHY_TEST_RESULTS!Failing Child Step='seaworthy - seaworthy_iteration_0';Attribute 'seaworthy-test-results' has 2 violated entries during seaworthy. Violated entries: MatmulConsistencyTest.MatmulUniBigPosSmallPosD!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2406-00332!VIPERFISH|PLATFORMS-SERVER!2024-02-08 13:55:01!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!replace cold plate!510008:SYSTEM TEST
CTH2404-03765!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:14:27!tpu_error_p5x_execution!Failing Child Step='Tpu Sdc - p5x-execution';Target tray0chip2 Iteration 0, Unable to read results file /data/tmp/tmp6n_ki4d6/tray0chip2/iteration0/golden_comparison_results.textproto, P5x failed!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2352-02329!VIPERFISH|PLATFORMS-SERVER!2024-02-08 17:29:11!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2406-00385!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:38:17!flow_rate_0.6_gpm!value='0.89' lower_limit='0.54' upper_limit='0.66'!DB03!replace cold plate!510008:SYSTEM TEST
CTH2404-04690!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:34:29!flow_rate_0.6_gpm!value='0.85' lower_limit='0.54' upper_limit='0.66'!DB03!replace cold plate!510008:SYSTEM TEST
CTH2405-04031!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:03:40!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2405-07708!VIPERFISH|PLATFORMS-SERVER!2024-02-08 17:28:19!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-00630!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:33:18!flow_rate_0.6_gpm!value='0.18' lower_limit='0.54' upper_limit='0.66'!DB03!Replace cold plate : 1143796-02_695234_AVH_233800489!510008:SYSTEM TEST
CTH2406-00279!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:32:45!flow_rate_0.6_gpm!value='0.15' lower_limit='0.54' upper_limit='0.66'!DB03!Replace cold plate (1143796-02_695234_AVH_233800499)!510008:SYSTEM TEST
CTH2342-00432!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:18:40!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-05287!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:04:00!tpu_fail_p5x!Failing Child Step='Tpu Sdc - p5x-execution';Target tray0chip1 Iteration 0, Detected SDC at step 1 out of the golden step count 79357. Actual train duration was 0.5419710278511047s while golden w!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2349-00618!VIPERFISH|PLATFORMS-SERVER!2024-02-08 16:19:31!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2406-00278!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:33:08!flow_rate_0.6_gpm!value='0.19' lower_limit='0.54' upper_limit='0.66'!DB03!Replace cold plate (1143796-02_695234_AVH_233700267)!510008:SYSTEM TEST
CTH2405-05267!VIPERFISH|PLATFORMS-SERVER!2024-02-08 18:45:24!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2405-07285!VIPERFISH|PLATFORMS-SERVER!2024-02-08 13:42:17!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!replace cold plate!510008:SYSTEM TEST
CTH2405-05651!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:50:20!excessive_tgen_mismatch_errors!Failing Child Step='hbm_qc_delay - hbm_qc_delay-run-tgen-test-moving_inversion';Attribute 'tgen-mismatch-errors' has 1 violated entries during tgen-moving_inversion. Violated entries: block-32-no!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2406-00897!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:08:37!EXCESSIVE_VX_POWER_THERMAL_THROTTLE!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-thermal-throttle' has 1 violated entries during vx-power-tdp. Violated entries: throttle-rate!DB03!replace cold plate!510008:SYSTEM TEST
CTH2405-04619!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:11:01!flow_rate_error!Failing flow rate spec.!DB03!replace cold plate!510008:SYSTEM TEST
CTH2405-07654!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:33:56!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2404-01485!VIPERFISH|PLATFORMS-SERVER!2024-02-08 22:25:07!vfc1_ext_south!value='127.0' lower_limit='0' upper_limit='89'!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2402-01948!VIPERFISH|PLATFORMS-SERVER!2024-02-08 22:27:38!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2406-00375!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:51:57!flow_rate_error!Failing flow rate spec.!DB03!replace cold plate!510008:SYSTEM TEST
CTH2404-04635!VIPERFISH|PLATFORMS-SERVER!2024-02-09 02:22:18!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2351-15000!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 02:48:46!PCIE_DEVPATH_MISSING!^/phys/PE\d/CDFP/DOWNLINK/VLC3:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-05786!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:38:10!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 6 violated entries during vx-power-tdp. Violated entries: TENSOR_CORE_0,TENSOR_CORE_1,tensor_core_0-mxu-sta!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-05233!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:03:50!TPU_PCIE_RUN_LOAD_ERROR!Failing Child Step='pci_throughput_aer_with_retry - Diag';generic::unknown: Chip fatal error. Test could not start.!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2406-00303!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:09:45!flow_rate_error!Failing flow rate spec.!DB03!replace cold plate!510008:SYSTEM TEST
CTH2404-04452!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:35:02!MISSING_MEASUREMENT!Could not find measurements for 1 spec(s).!DB03!Dis PCBA to debug!510008:SYSTEM TEST
