CTH2409-00368!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:06:20!TPU_FAIL_PCIE_THROUGHPUT!Failing Child Step='pci_throughput_aer_with_retry - Check Chip PCIe Total Throughput';/phys/PE0/IO0/CDFP/DOWNLINK/VFC3:device:asic: Checking total throughput: actual 27839258377, min 40000000000!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00270!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:14:34!EXCESSIVE_VX_POWER_CORE_FAIL_COUNT!Failing Child Step='didt_sweep - Diag';Attribute 'vx-power-core-fail-count' has 7 violated entries during didt. Violated entries: 1_on_9_off,300_on_300_off,39_on_5_off,3_on_5_off,43_on_5_off,4_on!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00212!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:04:56!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 to OSFP0 and retest!510008:SYSTEM TEST
CTH2409-00345!VIPERFISH|PLATFORMS-SERVER!2024-02-27 17:45:06!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Swap OSFP7 to OSFP15 and retest!510008:SYSTEM TEST
CTH2407-03093!VIPERFISH|PLATFORMS-SERVER!2024-02-27 15:20:39!VF_SI_ICI_SERDES_FAIL!OSFP3!NDF!Swap OSFP3 to OSFP15 and retest!510008:SYSTEM TEST
CTH2409-00328!VIPERFISH|PLATFORMS-SERVER!2024-02-27 22:12:48!VF_SI_ICI_SERDES_FAIL!OSFP1!NDF!Swap OSFP1 to OSFP15 and retest!510008:SYSTEM TEST
CTH2409-00179!VIPERFISH|PLATFORMS-SERVER!2024-02-27 22:07:40!VF_SI_ICI_SERDES_FAIL!OSFP6!NDF!Swap OSFP6 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-05022!VIPERFISH|PLATFORMS-SERVER!2024-02-27 16:26:55!VF_SI_ICI_SERDES_FAIL!OSFP11!NDF!Swap OSFP11 to OSFP1 and retest!510008:SYSTEM TEST
CTH2409-00151!VIPERFISH|PLATFORMS-SERVER!2024-02-27 16:24:59!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Replace OSFP14  and retest!510008:SYSTEM TEST
CTH2409-00209!VIPERFISH|PLATFORMS-SERVER!2024-02-27 15:23:50!VF_SI_ICI_SERDES_FAIL!OSFP14!NDF!Swap OSFP14 to OSFP1 and retest!510008:SYSTEM TEST
CTH2409-00411!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:21:43!MISSING_MEASUREMENT!Could not find measurements for 1 spec(s).!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70614!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:12:27!STETHOSCOPE_STOP_ERROR!Failing Child Step='pcm_burnin - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70628!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:37:34!STETHOSCOPE_STOP_ERROR!Failing Child Step='pcm_burnin - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70632!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:37:44!STETHOSCOPE_STOP_ERROR!Failing Child Step='pcm_burnin - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2408-12624!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:27:42!HOTSWAP_REBOOT_FAILURE!Hotswap reboot was not detected.!NDF!Change slot!510008:SYSTEM TEST
CTH2408-03072!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:11:20!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC2:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2408-01680!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:42:17!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC2:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2409-10230!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:40:16!vlc3_port2_lane0_eye_margin_L!value='0' lower_limit='0' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05729!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:05:49!over_temp!value='1' lower_limit='0' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00598!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:01:36!072_0x2C_vfc1_delta_d50s400a_ibc_b!value='--' lower_limit='OK' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-03746!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:22:28!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05196!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:12:23!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!NDF!Change slot!510008:SYSTEM TEST
CTH2408-03973!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:33:24!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04526!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:07:52!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC1:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05728!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:08:55!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2409-11408!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 23:46:36!PCIE_VLC0_WIDTH!value='x1' lower_limit='x8' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00173!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:54:41!STEP_TIMEOUT_ERROR!Timeout occurred while executing ssh -o ServerAliveInterval=600 -tt root@10.0.0.3 'ulimit -Hn 1048576; ulimit -Sn 1048576; gcontain enter /; /fish/voodoo/jobhandlers/viperfishist_jobhandler_stand!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00555!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:47:54!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='electrical_design_power - edp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-edp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00573!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:05:25!TPU_HBM_LANE_REPAIR_FAILED_HARD!Failing Child Step='hbm_lane_repair - HBM Lane Repair Operation';Encountered an error during lane repair action hard tray=0, chip=0, HBM=1: AAPL Runner failed: Error encountered when running lane!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70049!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:41:50!VOODOO_UNEXPECTED_EXCEPTION!ERROR while executing run_step() in VxStandaloneVoodoo;(IndexError) list index out of range!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70621!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:34:09!TPU_PCIE_DRIVER_OPEN_ERROR!Failing Child Step='pcie_throughput_aer_with_retry - Diag';generic::failed_precondition: open(/dev/vfio/131): Device or resource busy: Device or resource busy; Couldn't open iommu group /dev/vfio!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70447!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 01:37:22!VLC_EXT_SOUTH_RANGE!value='15.0' lower_limit='0' upper_limit='14'!NDF!Change slot!510008:SYSTEM TEST
CTH2407-05240!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:02:03!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05172!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:39:14!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00471!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:46:16!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00572!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:43:52!flow_rate_0.6_gpm!value='0.31' lower_limit='0.54' upper_limit='0.66'!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00446!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:10:34!flow_rate_0.6_gpm!value='0.31' lower_limit='0.54' upper_limit='0.66'!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00489!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:54:34!UNEXPECTED_EXCEPTION!type object 'ExecuteVfMarginUpScriptSetting' has no attribute 'exception'!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05714!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:17:12!TPU_FAIL_PCIE_THROUGHPUT!Failing Child Step='pci_throughput_aer_with_retry - Check Chip PCIe Total Throughput';/phys/PE0/IO0/CDFP/DOWNLINK/VFC3:device:asic: Checking total throughput: actual 27738235243, min 40000000000!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05028!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:52:10!SENSOR_READ_ERROR!(BaseTrayError) Error while reading the sensors list;(IpmiToolError) Error while executing the read_sensors command;(HostCommandError) Send command failure: /usr/bin/ipmitool sensor (error: Error!NDF!Retest as is!510008:SYSTEM TEST
CTH2408-12089!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 23:41:51!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!NDF!Retest as is!510008:SYSTEM TEST
CTH2409-70502!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 23:06:22!TASK_EXCEPTION_STATUSNOTOK!Failing Child Step='thermal_impedance_with_retry - Diag'; Error while fetching Devpath for device location 0000:01:00.0 [APP::1 (1)]!NDF!Change slot and retest!510008:SYSTEM TEST
CTH2409-70591!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 23:04:27!TASK_EXCEPTION__INACTIVERPCERROR!Failing Child Step='thermal_impedance_with_retry - Diag';<_InactiveRpcError of RPC that terminated with:;	status = StatusCode.UNIMPLEMENTED;	details = "fan: /phys/PE3/CDFP/DOWNLINK/FAN0:device:fa!NDF!Change slot and retest!510008:SYSTEM TEST
CTH2408-05681!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:28:05!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Reinsert FAN cable retest!510008:SYSTEM TEST
CTH2409-00350!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:57:20!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 to OSFP0 and retest!510008:SYSTEM TEST
CTH2408-05194!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:11:40!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Swap OSFP3 to OSFP15 and retest!510008:SYSTEM TEST
CTH2409-70538!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 00:01:40!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC2 Port 1 Lane 0. Actual: 3.85e-06, Threshold: 6.005e-07!NDF!Swap OSFP4 with OSFP0!510008:SYSTEM TEST
CTH2408-12569!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 22:55:30!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC1 Port 1 Lane 3. Actual: 6.48e-07, Threshold: 6.005e-07!NDF!Swap OSFP2 to OSFP7 and retest!510008:SYSTEM TEST
CTH2408-05669!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:18:52!VF_SI_ICI_SERDES_FAIL!OSFP0!NDF!Swap OSFP0 to OSFP8 retest (APF23291076FGE)!510008:SYSTEM TEST
CTH2405-07179!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:34:52!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 to OSFP7 retest (APF23391070THM)!510008:SYSTEM TEST
CTH2409-00483!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:39:38!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 to OSFP7 retest (APF23121041LHJ)!510008:SYSTEM TEST
CTH2409-00593!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:47:56!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Swap OSFP3 to OSFP11 (APF23121041P8B)!510008:SYSTEM TEST
CTH2409-00273!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:43:36!VF_SI_ICI_SERDES_FAIL!OSFP7!NDF!Swap OSFP7 to OSFP14 retest (APF23401072Y5B)!510008:SYSTEM TEST
CTH2344-00167!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:33:41!VF_SI_ICI_SERDES_FAIL!OSFP2!NDF!Change OSFP2 and retest!510008:SYSTEM TEST
CTH2408-01454!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:33:58!VF_SI_ICI_SERDES_FAIL!OSFP14!NDF!Swap OSFP14 to OSFP6 (APF23411073HCH)!510008:SYSTEM TEST
CTH2346-01016!VIPERFISH|PLATFORMS-SERVER!2024-02-20 06:27:43!vfc_ext_north_range!value='11.0' lower_limit='0' upper_limit='10'!NDF!!510008:SYSTEM TEST
CTH2405-05239!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:19:22!connection_failure_exception!ERROR while executing run_step() in VxStandaloneVoodoo;(ParamikoConnectionConnectException) SSH via Paramiko library connection failed;(NoValidConnectionsError) [Errno None] Unable to connect to!NDF!Change slot!510008:SYSTEM TEST
CTH2406-03315!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:20:41!STETHOSCOPE_STOP_ERROR!Failing Child Step='didt_sweep - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2408-00293!VIPERFISH|PLATFORMS-SERVER!2024-02-23 05:13:29!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!NDF!510008:SYSTEM TEST
CTH2409-00169!VIPERFISH|PLATFORMS-SERVER!2024-02-27 13:45:05!pcie_vfc2_speed!value='8.0GT/s' lower_limit='16.0GT/s' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2351-00002!VIPERFISH|PLATFORMS-SERVER!2024-02-26 07:27:27!flow_rate_0.6_gpm!value='0.26' lower_limit='0.54' upper_limit='0.66'!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05064!VIPERFISH|PLATFORMS-SERVER!2024-02-27 14:14:23!EXCESSIVE_HELLO_VFC_SMARTDIAG!Failing Child Step='hello_vfc - Diag';Attribute 'hello_vfc_smartdiag' has 2 violated entries. Violated entries: HelloTestSuite/HelloTc:CoreDumpCollectCsrsTest/Core0,HelloTestSuite/HelloTc:CoreDum!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05056!VIPERFISH|PLATFORMS-SERVER!2024-02-27 13:43:57!VF_SI_ICI_SERDES_FAIL!OSFP13!NDF!Swap OSFP13 to OSFP0 retest!510008:SYSTEM TEST
CTH2408-05021!VIPERFISH|PLATFORMS-SERVER!2024-02-27 15:10:25!VF_SI_ICI_SERDES_FAIL!OSFP5!NDF!Swap OSFP5 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-12868!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 02:26:36!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC3 Port 1 Lane 0. Actual: 7.35e-06, Threshold: 6.005e-07!NDF!Swap OSFP6 to OSFP1!510008:SYSTEM TEST
CTH2409-00151!VIPERFISH|PLATFORMS-SERVER!2024-02-27 16:24:59!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Replace OSFP14  and retest!510008:SYSTEM TEST
CTH2408-12386!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 01:56:05!GBMC_INTERFACE_CONFIGURE_ERROR!Failed to configure the network interface between host and gBMC;(TimeoutError) Timeout while trying to set interface bmc_usb0;(HostCommandError) Send command failure: ip link set usb0 name bmc_us!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00392!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:04:52!VOODOO_PARSING_ERROR!Failed to parse 1 lines from Voodoo output at line number(s): [1].!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00333!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:09:38!L0SEQ_BMC_SYS_PGOOD_GPIO_VALUE!value='0' lower_limit='1' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00153!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:07:15!L0SEQ_BMC_SYS_PGOOD_GPIO_VALUE!value='0' lower_limit='1' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05184!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:52:32!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00535!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:49:40!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70564!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 01:33:27!TASK_EXCEPTION__INACTIVERPCERROR!Failing Child Step='thermal_impedance_with_retry - Diag';<_InactiveRpcError of RPC that terminated with:;	status = StatusCode.UNIMPLEMENTED;	details = "fan: /phys/PE3/CDFP/DOWNLINK/FAN0:device:fa!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00524!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:58:28!vfc0_telemetry!value='--' lower_limit='OK' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05196!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:12:23!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05189!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:52:41!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='electrical_design_power - edp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-edp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00522!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:19:48!TPU_HBM_LANE_REPAIR_FAILED_HARD!Failing Child Step='hbm_lane_repair - HBM Lane Repair Operation';Encountered an error during lane repair action hard tray=0, chip=2, HBM=4: AAPL Runner failed: Error encountered when running lane!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00175!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:24:16!EXCESSIVE_VX_POWER_CORE_FAIL_COUNT!Failing Child Step='didt_sweep - Diag';Attribute 'vx-power-core-fail-count' has 1 violated entries during didt. Violated entries: 61_on_5_off!NDF!Change slot!510008:SYSTEM TEST
